Aluenumero	Alue	Vaalipiiri	2.K Äänestysprosentti	2.K Ennakkoäänestysprosentti	2.K Ääniä yhteensä	2.K Äänioikeutettuja	2.K Äänioikeutettuja miehiä	2.K Pekka Haavisto ääniä	2.K Pekka Haavisto osuus	2.K Pekka Haavisto ennakkoääniä	2.K Pekka Haavisto ennakko osuus	2.K Sauli Niinistö ääniä	2.K Sauli Niinistö osuus	2.K Sauli Niinistö ennakkoääniä	2.K Sauli Niinistö ennakko osuus
2	091	Helsinki	01 Helsingin vaalipiiri	74.8	34.3	347816	502960	44.8	173282	49.8	77691	45.4	174534	50.2	93598	54.6
3	018	Askola	02 Uudenmaan vaalipiiri	68.5	34.3	2482	3696	50.4	797	32.1	386	30.7	1685	67.9	873	69.3
4	049	Espoo	02 Uudenmaan vaalipiiri	78.4	36.7	141666	188153	47.8	51400	36.3	22790	33.2	90266	63.7	45916	66.8
5	078	Hanko	02 Uudenmaan vaalipiiri	65.3	26.9	4923	8290	49.2	2103	42.7	840	38	2820	57.3	1368	62
6	092	Vantaa	02 Uudenmaan vaalipiiri	70.2	31.3	103478	152510	47.9	41373	40	17367	36.6	62105	60	30104	63.4
7	106	Hyvinkää	02 Uudenmaan vaalipiiri	67.6	26.1	23621	36329	47.8	9225	39.1	3273	34.9	14396	60.9	6116	65.1
8	149	Inkoo	02 Uudenmaan vaalipiiri	77.8	31.4	3291	4505	48.6	1315	40	524	37.3	1976	60	882	62.7
9	186	Järvenpää	02 Uudenmaan vaalipiiri	73.2	34.4	21779	30598	47.7	8638	39.7	3764	36	13141	60.3	6701	64
10	223	Karjalohja	02 Uudenmaan vaalipiiri	73.6	34.4	861	1197	48.2	342	39.7	136	33.3	519	60.3	273	66.7
11	224	Karkkila	02 Uudenmaan vaalipiiri	65.2	31.2	4556	7243	49	1858	40.8	820	36.6	2698	59.2	1420	63.4
12	235	Kauniainen	02 Uudenmaan vaalipiiri	85.8	43.4	5603	7087	46.2	1755	31.3	831	27.1	3848	68.7	2233	72.9
13	245	Kerava	02 Uudenmaan vaalipiiri	72	31.6	18735	26844	48	7531	40.2	3064	36.4	11204	59.8	5351	63.6
14	257	Kirkkonummi	02 Uudenmaan vaalipiiri	76.2	32.3	19955	26977	48.7	7617	38.2	2985	34.4	12338	61.8	5680	65.6
15	407	Lapinjärvi	02 Uudenmaan vaalipiiri	68.3	34.1	1544	2401	49.5	500	32.4	236	28.9	1044	67.6	580	71.1
16	434	Loviisa	02 Uudenmaan vaalipiiri	69.4	30.6	8567	13270	49.1	3229	37.7	1373	34.4	5338	62.3	2620	65.6
17	444	Lohja	02 Uudenmaan vaalipiiri	70.2	36.1	21059	31095	48.3	7820	37.1	3728	33.4	13239	62.9	7432	66.6
18	504	Myrskylä	02 Uudenmaan vaalipiiri	66.1	36.4	1034	1630	49.5	309	29.9	182	31.1	725	70.1	404	68.9
19	505	Mäntsälä	02 Uudenmaan vaalipiiri	68.8	31.5	9979	14845	49.2	3273	32.8	1372	29.5	6706	67.2	3272	70.5
20	540	Nummi-Pusula	02 Uudenmaan vaalipiiri	66.8	36	3134	4805	50.5	1100	35.1	567	33	2034	64.9	1151	67
